word;meaning;pos;plural;present;fs;mp;fp;uses;example;arabicScript;pronunciation;usesPronunciation
chinwi;chinese;Adjective;;;chinwia;chinwiyin;chinwiyat;;; صيني  ; [sound:darija_684.mp3];
Talian; Italy;;;;;;;;; إيطاليا  ; [sound:darija_685.mp3];
Taliani;italian;Adjective;;;Talianiya;Talianiyin;Talianiyat;;; إيطالي  ; [sound:darija_686.mp3];
mrewwen; disorganized messy;Adjective;;;mrewwna;mrewwnin;mrewwnat;;; مروّن  ; [sound:darija_687.mp3];
mejmu3; organized tidy;Adjective;;;mejmu3a;mejmu3in;mejmu3at;;; مجموع  ; [sound:darija_688.mp3];
foTa; towel;Noun;foTat;;;;;;; فوطة  ; [sound:darija_689.mp3];
shampooing; shampoo;Noun;shampoanat;;;;;;; شامبوان  ; [sound:darija_690.mp3];
lavabo; sink;Noun;lavaboat;;;;;;; لافابو  ; [sound:darija_691.mp3];
meslu9; boiled;Adjective;;;meslu9a;meslu9in;meslu9at;;; مسلوق  ; [sound:darija_692.mp3];
sle9; to boil;Verb;;sle9;;;;kansle9 lbid.;I fry eggs.; سلق  ; [sound:darija_693.mp3];
me9li; fried;Adjective;;;me9liya;me9liyin;me9liyat;;; مقلي  ; [sound:darija_694.mp3];
9la; to fry;Verb;;9li;;;;;; قلى  ; [sound:darija_695.mp3];
dki; smart;Adjective;;;dkiya;dkiyin;dkiyat;;; ذكي  ; [sound:darija_696.mp3];
mkellekh; stupid;Adjective;;;mkellkha;mkellkhin;mkellkhat;;; مكلخ  ; [sound:darija_697.mp3];
9ase7; hard;Adjective;;;9as7a;9as7in;9as7at;;; قاصح  ; [sound:darija_698.mp3];
mikka/plastika; plastic bag;Noun;mikkat/plastikat;;;;;;; ميكا / بلاستيكة  ; [sound:darija_699.mp3];
geffa; shopping bag;Noun;gfaf/geffat;;;;;;; قفة  ; [sound:darija_700.mp3];
me7sad; envious;Adjective;;;me7sada;me7sadin;me7sadat;;; محسد  ; [sound:darija_701.mp3];
jism; body;Noun;ajsam;;;;;;; جسم  ; [sound:darija_702.mp3];
chfayef; lips;Noun;chfayef;;;;;;; شفايْف  ; [sound:darija_703.mp3];
twe77ech; to miss;Verb;;twe77ech;;;;twe77echnakum.;We missed you.; توحش  ; [sound:darija_755.mp3];
rTeb; soft;Adjective;;;reTba;reTbin;reTbat;;; رطب  ; [sound:darija_705.mp3];
7rech; rough;Adjective;;;7ercha;7erchin;7erchat;;; خشن  ; [sound:darija_706.mp3];
metcherfin; a pleasure nice to meet you;;;;;;;;; متشرفين  ; [sound:darija_708.mp3];
ghliD; fat;Adjective;;;ghliDa;ghlaD;ghlaDat;;; غليظ  ; [sound:darija_709.mp3];
