word;meaning;pos;plural;present;fs;mp;fp;uses;example;arabicScript;pronunciation;usesPronunciation
7etta; until as well also even;Preposition;;;;;;;; حتى  ; [sound:darija_768.mp3];
lli; that;Conjunction;;;;;;;; اللي  ; [sound:darija_322.mp3]  ;
kimma kifma; as;;;;;;;;; كما  ; [sound:darija_323.mp3]  ;
3ref; to know;Verb;;3ref;;;;;; عرف  ; [sound:darija_324.mp3]  ;
3lach; why;;;;;;;;; علاش  ; [sound:darija_911.mp3];
fat; passed;;;;;;;;; فات  ; [sound:darija_326.mp3]  ;
hada;this (masc);Pronoun;;;;;;;; هذا  ; [sound:darija_327.mp3]  ;
hadi; this (fem);Pronoun;;;;;;;; هذه  ; [sound:darija_328.mp3]  ;
hadu; these;Pronoun;;;;;;;; هادو  ; [sound:darija_329.mp3]  ;
haduk duk; those;Pronoun;;;;;;;; هادوك دوك  ; [sound:darija_330.mp3]  ;
hadik dik; that (fem);Pronoun;;;;;;;; هاديك ديك  ; [sound:darija_331.mp3]  ;
hadak dak; that (masc);Pronoun;;;;;;;; هداك داك  ; [sound:darija_332.mp3]  ;
hakka hakda; like this this way;Pronoun;;;;;;;; هكا هكدا  ; [sound:darija_333.mp3]  ;
bit n3as;bedroom;Noun;byuta t n3as;;;;;;;بيت النعاس; [sound:darija_334.mp3]  ;
dentifrice; toothpaste;Noun;dentifrice;;;;;;; دونتيفريس  ; [sound:darija_335.mp3]  ;
marka; brand;Noun;markat;;;;;;; ماركة  ; [sound:darija_336.mp3]  ;
la peau jelda; skin;Noun;les peaux/jluda;;;;;;;جلدة/لاپو  ; [sound:darija_337.mp3]  ;
safi; that's it alright;Adjective;;;;;;;; صافي  ; [sound:darija_338.mp3]  ;
daz; to proceed;Verb;;duz;;;;;; داز  ; [sound:darija_339.mp3]  ;
kuzina; kitchen;Noun;kuzinat;;;;;;; كوزينة  ; [sound:darija_340.mp3]  ;
tellaja; fridge;Noun;tellajat;;;;;;; تلاجة  ; [sound:darija_341.mp3]  ;
frmaj; cheese;Noun;frmaj;;;;;;; فرماج  ; [sound:darija_342.mp3]  ;
iwa ewa; so;;;;;;;;; إيوا  ; [sound:darija_343.mp3]  ;
walu; nothing;;;;;;;;; والو  ; [sound:darija_344.mp3]  ;
chra; to buy;Verb;;chri;;;;;; شرى  ; [sound:darija_345.mp3]  ;
ba3; to sell;Verb;;bi3;;;;;; باع  ; [sound:darija_346.mp3]  ;
kayn; to be there is;Adjective;;;kayna;kaynin;kaynat;;; كاين  ; [sound:darija_347.mp3]  ;
garro; cigarette;Noun;garroat/gwarro;;;;;;; ڭارو  ; [sound:darija_348.mp3]  ;
9ehwi;brown;Adjective;;;9ehwiya;9ehwiyin;9ehwiyat;;;قهوي; [sound:darija_349.mp3]  ;
khu; brother;Noun;ikhwan/khut;;;;;;; خو  ; [sound:darija_350.mp3]  ;
Tobis; bus;Noun;Tobisat;;;;;;; طوبيس  ; [sound:darija_351.mp3]  ;
kulchi; everything everyone;;;;;;;;; كلشي  ; [sound:darija_352.mp3]  ;
rkeb; get on get in;;;;;;;;; ركب  ; [sound:darija_353.mp3]  ;
tran; train;Noun;tranat;;;;;;; تران  ; [sound:darija_354.mp3]  ;
pikala bchkliTa; bike;Noun;pikalat bchkliTat;;;;;;; بيكالة بشكليطة  ; [sound:darija_355.mp3]  ;
moTor; motorbike;Noun;moTorat;;;;;;; موطور  ; [sound:darija_356.mp3]  ;
Tiyyara; plane;Noun;Tiyyarat;;;;;;; طيارة  ; [sound:darija_357.mp3]  ;
l; to for;;;;;;;;; لِـ  ; [sound:darija_358.mp3]  ;
sme3; to hear to listen;Verb;;sme3;;;;;; سمع  ; [sound:darija_359.mp3]  ;
tsenneT; to listen;Verb;;tsenneT;;;;;; تصنّت  ; [sound:darija_360.mp3]  ;
jjay; coming next;;;;;;;;; جاي  ; [sound:darija_361.mp3]  ;
Sghir;small little young;Adjective;;;Sghira;Sghar;Sgharat;;; صغير  ; [sound:darija_753.mp3];
kbir;Big Old;Adjective;;;kbir;kbar;kbarat;;; كبير  ; [sound:darija_779.mp3];
kamel;all of something whole complete;Adjective;;;kamla;kamlin;kamlat;;; كامل  ; [sound:darija_364.mp3]  ;
men 9bel; before;;;;;;;;; من قبل  ; [sound:darija_365.mp3]  ;
tfekker; to remember;Verb;;tfekker;;;;;; تفكر  ; [sound:darija_366.mp3]  ;
fekker; to think;Verb;;fekker;;;;;; فكر  ; [sound:darija_367.mp3]  ;
39el; to memorise to remember;Verb;;39el;;;;;; عقل  ; [sound:darija_368.mp3]  ;
blaSa; place;Noun;blaSat;;;;;;; بلاصة  ; [sound:darija_369.mp3]  ;
7etta blaSa 7etta fin; nowhere;;;;;;;;; حتى بلاصة حتى فين  ; [sound:darija_370.mp3]  ;
frach srir; bed;Noun;frachat srirat;;;;;;; فراش سرير  ; [sound:darija_371.mp3]  ;
kemmel; continue/finish;Verb;;kemmel;;;;;; كمل  ; [sound:darija_372.mp3]  ;
sahel; easy;Adjective;;;sahla;sahlin;sahlat;;; ساهل  ; [sound:darija_373.mp3]  ;
s3ib; hard;Adjective;;;s3iba;s3ab;s3abat;;; صعيب  ; [sound:darija_374.mp3]  ;
bin u bin; not too much not too little;;;;;;;;; بين و بين  ; [sound:darija_376.mp3]  ;
terjama; translation;Noun;terjamat;;;;;;; ترجمة  ; [sound:darija_377.mp3]  ;
mechghul; busy;Adjective;;;mechghula;mechghulin;mechghulat;;; مشغول  ; [sound:darija_378.mp3]  ;
chi be3d lmerrat; sometimes;;;;;;;;; شي بعض المرات  ; [sound:darija_379.mp3]  ;
dima; always;;;;;;;;; ديما  ; [sound:darija_769.mp3];
meghribi;moroccan;Adjective;;;meghribiya;meghribiyin;meghribiyat;;; مغربي  ; [sound:darija_381.mp3]  ;
ghda; lunch;Noun;ghdawat;;;;;;; غدا; [sound:darija_382.mp3]  ;
3cha; dinner;Noun;3chawat;;;;;;; عشا; [sound:darija_383.mp3]  ;
ftur; breakfast;Noun;fturat;;;;;;; فطور  ; [sound:darija_384.mp3]  ;
bezzaf tel merrat; often;;;;;;;;; بزاف من المرات  ; [sound:darija_385.mp3]  ;
jar; neighbor;Noun;jiran;;;;;;; جار  ; [sound:darija_386.mp3]  ;
atay; tea;Noun;atay;;;;;;; أتاي  ; [sound:darija_387.mp3]  ;
kseksu; couscous;Noun;kseksu;;;;;;; كسكسو  ; [sound:darija_388.mp3]  ;
Dif; guest;Noun;Dyaf;;;;;;; ضيف  ; [sound:darija_389.mp3]  ;
mul ddar; host home owner;Noun;malin ddar;;;;;;; مول الدار  ; [sound:darija_390.mp3]  ;
la piscine; swimming pool;Noun;les piscines;;;;;;; لاپيسين  ; [sound:darija_391.mp3]  ;
3awen; to help;Verb;;3awen;;;;;; عاون  ; [sound:darija_813.mp3];
b7er; sea;Noun;b7ura;;;;;;; بحر  ; [sound:darija_393.mp3]  ;
la plage; beach;Noun;les plages;;;;;;; لاپلاج  ; [sound:darija_394.mp3]  ;
3awd;horse;Noun;3iwdan;;;;;;; عود  ; [sound:darija_814.mp3];
3awed; to do something again to repeat to tell (a story);Verb;;3awed;;;;;; عاود  ; [sound:darija_893.mp3];
raje3; to revise;Adjective;;;raj3a;raj3in;raj3at;;; راجع  ; [sound:darija_397.mp3]  ;
muchkil; problem;Noun;machakil;;;;;;; مشكل  ; [sound:darija_398.mp3]  ;
7ell; to open;Verb;;7ell;;;;;; حل  ; [sound:darija_399.mp3]  ;
sedd; close;Verb;;sedd;;;;;; سد  ; [sound:darija_400.mp3]  ;
bu7di; by myself me alone;;;;;;;;; بوحدي  ; [sound:darija_401.mp3]  ;
la fac; faculty;Noun;les facs;;;;;;; لافاك  ; [sound:darija_402.mp3]  ;
kas; glass;Noun;kisan;;;;;;; كاس  ; [sound:darija_403.mp3]  ;
tla9a; meet;Verb;;tla9a;;;;;; تلاقى  ; [sound:darija_404.mp3]  ;
7uta; fish;Noun;7ut;;;;;;; حوتة  ; [sound:darija_405.mp3]  ;
kma; to smoke;Verb;;kmi;;;;mab9itch kankmi.;I don't smoke anymore.; كمى  ; [sound:darija_406.mp3]  ;
walakin; but;;;;;;;;; ولكن  ; [sound:darija_407.mp3]  ;
ma b9ach; to not do something anymore;;;;;;;;; ما بقا ش  ; [sound:darija_408.mp3]  ;
sken; to live;Verb;;sken;;;;;; سكن  ; [sound:darija_409.mp3]  ;
t3ellem; to learn;Verb;;t3ellem;;;;;; تعلم  ; [sound:darija_410.mp3]  ;
l3arabiya lfuS7a; classical arabic;;;;;;;;; العربية الفصحى  ; [sound:darija_411.mp3]  ;
9erra; to teach;Verb;;9erri;;;;;; قرى  ; [sound:darija_412.mp3]  ;
ders; lesson;Noun;durus;;;;;;; درس  ; [sound:darija_413.mp3]  ;
ustad; teacher;Noun;asatida;;;;;;; أستاذ  ; [sound:darija_414.mp3]  ;
mu3llim; teacher (primary school);Noun;mu3llimin;;;;;;; معلم  ; [sound:darija_415.mp3]  ;
miSri;egyptian;Adjective;;;miSriya;miSriyin;miSriat;;; مصري  ; [sound:darija_416.mp3]  ;
miSer; egypt;;;;;;;;; مصر  ; [sound:darija_417.mp3]  ;
jinsiya;citizenship nationality;Noun;jinsiyat;;;;;;; جنسية  ; [sound:darija_418.mp3]  ;
l3eb; to play;Verb;;l3eb;;;;;; لعب  ; [sound:darija_419.mp3]  ;
la salle; gym;Noun;les salles;;;;;;; صال; [sound:darija_420.mp3]  ;
safer; to travel;Verb;;safer;;;;;; سافر  ; [sound:darija_421.mp3]  ;
t3eTTel; to be late;Verb;;t3TTel;;;;;; تعطل  ; [sound:darija_422.mp3]  ;
belli; that;;;;;;;;; بلي  ; [sound:darija_423.mp3]  ;
gal; to say;Verb;;gul;;;;;; قال  ; [sound:darija_892.mp3];
zen9a; street;Noun;zna9i;;;;;;; زنقة  ; [sound:darija_425.mp3]  ;
chanTi; road;Noun;chanTiat;;;;;;; شانطي  ; [sound:darija_426.mp3]  ;
2akhbar; news;Noun;2akhbar;;;;;;;أخبار  ; [sound:darija_427.mp3]  ;
ja; to come;Verb;;ji;;;;;; جا  ; [sound:darija_788.mp3];
baraka; enough;;;;;;;;; باركة  ; [sound:darija_429.mp3]  ;
hedra; talk speaking;Noun;hedra;;;;;;; هدرة  ; [sound:darija_430.mp3]  ;
3adi; normal;Adjective;;;3adiya;3adiyin;3adiyat;;; عادي  ; [sound:darija_431.mp3]  ;
chbe3; to be full (from eating);Verb;;chbe3;;;;;;شبع; [sound:darija_432.mp3]  ;
ina; what which;;;;;;;;; أي/أشنو  ; [sound:darija_910.mp3];
mu2ekhkharan; lately recently;;;;;;;;; مؤخراً  ; [sound:darija_434.mp3]  ;
lu3ba; game;Noun;al3ab;;;;;;; لعبة  ; [sound:darija_435.mp3]  ;
bda; to start to begin;Verb;;bda;;;;;; بدا  ; [sound:darija_876.mp3];
zwin; nice beautiful;Adjective;;;zwina;zwinin;zwinat;;; زوين  ; [sound:darija_437.mp3]  ;
ras; head self;Noun;ryus;;;;;;; راس  ; [sound:darija_438.mp3]  ;
ne3na3; mint;Noun;ne3na3;;;;;;; نعناع  ; [sound:darija_439.mp3]  ;
7el9a; episode;Noun;7ela9at/7la9i;;;;;;; حلقة  ; [sound:darija_440.mp3]  ;
kifach; how;;;;;;;;; كيفاش؟  ; [sound:darija_815.mp3];
wSel; to arrive;Verb;;wSel;;;;;; وصل  ; [sound:darija_442.mp3]  ;
fhem; to understand;Verb;;fhem;;;;;; فهم  ; [sound:darija_443.mp3]  ;
Dreb; to hit;Verb;;Dreb;;;;;; ضرب  ; [sound:darija_444.mp3]  ;
jdid; new;Adjective;;;jdida;jdad;jdadat;;; جديد  ; [sound:darija_836.mp3];
9dim; old;Adjective;;;9dima;9dam;9dimat;;; قديم  ; [sound:darija_846.mp3];
3adatan; usually;;;;;;;;; عادةً  ; [sound:darija_447.mp3]  ;
lli fat lli daz; last past;;;;;;;;; اللي فات  ; [sound:darija_449.mp3]  ;
lli jay; coming next;;;;;;;;; اللي جاي  ; [sound:darija_450.mp3]  ;
tmma tmmak lhih; there;;;;;;;;; تما تمّاك لهيه  ; [sound:darija_451.mp3]  ;
dda; to take;Verb;;ddi;;;;;; دا  ; [sound:darija_452.mp3]  ;
dkhel; to enter;Verb;;dkhel;;;;;; دخل  ; [sound:darija_453.mp3]  ;
Twil; long tall;Adjective;;;Twila;Twal;Twalat;;; طويل  ; [sound:darija_454.mp3]  ;
9Sir; short;Adjective;;;9Sira;9Sar;9Sarat;;; قصير  ; [sound:darija_455.mp3]  ;
yallah; let's go just (time);;;;;;;Yallah wSelt.;I just arrived.; يالله  ; [sound:darija_456.mp3]  ;
Salun; living room;Noun;Salunat;;;;;;; صالون  ; [sound:darija_457.mp3]  ;
neS llil; midnight;;;;;;;;; نصف الليل  ; [sound:darija_458.mp3]  ;
chkun; who;;;;;;;;; شكون; [sound:darija_459.mp3]  ;
bit; room;Noun;byuta;;;;;;; بيت  ; [sound:darija_460.mp3]  ;
Sifet; send;Verb;;Sifet;;;;;; صيفط  ; [sound:darija_461.mp3]  ;
cadeau; gift;Noun;cadeauat;;;;;;; كادو  ; [sound:darija_462.mp3]  ;
7ayawan; animal;Noun;7ayawanat;;;;;;; حيوان  ; [sound:darija_463.mp3]  ;
bnadem; human;Noun;bnadem;;;;;;; بنادم  ; [sound:darija_464.mp3]  ;
mma3en; dishes;Noun;mma3en;;;;;;; مواعن  ; [sound:darija_465.mp3]  ;
ughniya; song;Noun;aghani;;;;;;; أغنية  ; [sound:darija_466.mp3]  ;
bddel; to change;;;bddel;;;;;; بدل  ; [sound:darija_467.mp3]  ;
mejmu3in; together;;;;;;;;; مجموعين  ; [sound:darija_468.mp3]  ;
kra; to rent;Verb;;kri;;;;;; كرى  ; [sound:darija_469.mp3]  ;
ndem; to regret;Verb;;ndem;;;;;; ندم  ; [sound:darija_470.mp3]  ;
khaf; to be scared to be afraid;Verb;;khaf;;;;;; خاف  ; [sound:darija_471.mp3]  ;
bat; to spend the night;Verb;;bat;;;;;; بات  ; [sound:darija_472.mp3]  ;
serbita; napkin;Noun;serbitat;;;;;;; سربيتة  ; [sound:darija_473.mp3]  ;
seri; series;;;;;;;;; سيري  ; [sound:darija_474.mp3]  ;
m3il9a; spoon;Noun;m3il9at;;;;;;; معلقة  ; [sound:darija_475.mp3]  ;
mus; knife;Noun;mmas;;;;;;; موس  ; [sound:darija_476.mp3]  ;
forcheTa; fork;Noun;forcheTat;;;;;;; فورشيطة  ; [sound:darija_477.mp3]  ;
sella chebka; net basket;Noun;sellat chebkat;;;;;;; سلة شبكة  ; [sound:darija_478.mp3]  ;
confiture; jam;Noun;confiture;;;;;;; كونفيتور  ; [sound:darija_479.mp3]  ;
biDa; egg;Noun;biD;;;;;;; بيضة  ; [sound:darija_480.mp3]  ;
banana; banana;Noun;banan;;;;;;; بانانة  ; [sound:darija_481.mp3]  ;
k7el; black;Adjective;;;ke7la;ke7lin;ke7lat;;; كحل  ; [sound:darija_482.mp3]  ;
byed; white;Adjective;;;bida;bidin;bidat;;; بيض  ; [sound:darija_483.mp3]  ;
b3id; far;Adjective;;;b3ida;b3ad;b3adat;;; بعيد  ; [sound:darija_484.mp3]  ;
9rib; close near;Adjective;;;9riba;9rab;9rabat;;; قريب  ; [sound:darija_485.mp3]  ;
Sfer; yellow;Adjective;;;Sefra;Sefrin;Sefrat;;; أصفر  ; [sound:darija_486.mp3]  ;
7mer; red;Adjective;;;7emra;7emrin;7emrat;;; أحمر  ; [sound:darija_487.mp3]  ;
zre9; blue;Adjective;;;zer9a;zer9in;zer9at;;; أزرق  ; [sound:darija_488.mp3]  ;
gri; gray;Adjective;;;gri;gri;gri;;; رمادي  ; [sound:darija_489.mp3]  ;
fanidi rose; pink;Adjective;;;fanidiya;fanidiyin;fanidiyat;;; وردي فانيذي  ; [sound:darija_490.mp3]  ;
cheklaT; chocolate;Noun;cheklaT;;;;;;; شكلاط  ; [sound:darija_491.mp3]  ;
berra; outside;;;;;;;;; برا  ; [sound:darija_852.mp3];
ldakhel; inside;Noun;ldakhel;;;;;;; الداخل  ; [sound:darija_493.mp3]  ;
fem; mouth;Noun;ffam;;;;;;; فم  ; [sound:darija_494.mp3]  ;
wden; ear;Noun;wednin;;;;;;; ودن  ; [sound:darija_495.mp3]  ;
3in; eye;Noun;3inin;;;;;;; عين  ; [sound:darija_496.mp3]  ;
kteb; to write;Verb;;kteb;;;;;; كتب  ; [sound:darija_497.mp3]  ;
bayen; clear obvious Apparent;Adjective;;;bayna;baynin;baynat;;; باين  ; [sound:darija_498.mp3]  ;
ghaba; forest;Noun;ghabat;;;;;;; غابة  ; [sound:darija_499.mp3]  ;
weekend; week-end;Noun;weekendat;;;;;;; ويكاند  ; [sound:darija_500.mp3]  ;
kerch; belly;Noun;krucha;;;;;;; كرش  ; [sound:darija_502.mp3]  ;
sder; chest;Noun;sdura;;;;;;; سدر  ; [sound:darija_503.mp3]  ;
ktef; shoulder;Noun;ktaf;;;;;;; كتف  ; [sound:darija_504.mp3]  ;
nif; nose;Noun;nyufa;;;;;;; نيف  ; [sound:darija_505.mp3]  ;
7ajeb; eyebrow;Noun;7ejban;;;;;;; حاجب  ; [sound:darija_506.mp3]  ;
le7ya; beard;Noun;l7aya;;;;;;; لحية  ; [sound:darija_507.mp3]  ;
3en9; neck;Noun;3na9;;;;;;; عنق  ; [sound:darija_508.mp3]  ;
rkba; knee;Noun;rkabi;;;;;;; ركبة  ; [sound:darija_509.mp3]  ;
fkheD; thigh;Noun;fkhaD;;;;;;; فخض  ; [sound:darija_510.mp3]  ;
Sbe3; lion;Noun;Sba3;;;;;;; سبع  ; [sound:darija_511.mp3]  ;
dra3; arm;Noun;dra3at;;;;;;; دراع  ; [sound:darija_512.mp3]  ;
Dher; back;Noun;Dhura;;;;;;; ظهر  ; [sound:darija_513.mp3]  ;
bellati; wait;;;;;;;;; باللاتي  ; [sound:darija_514.mp3]  ;
Derr; to hurt;;;Derr;;;;;; ضر  ; [sound:darija_515.mp3]  ;
mdina; city;Noun;mudun;;;;;;; مدينة  ; [sound:darija_516.mp3]  ;
blad; country;Noun;buldan;;;;;;; بلاد  ; [sound:darija_517.mp3]  ;
lay3awen; bye;;;;;;;;; الله يعاون  ; [sound:darija_518.mp3]  ;
dakchi 3lach;" that&#x27;s why";;;;;;;;; داكشي علاش  ; [sound:darija_519.mp3]  ;
ghi ghir; just;;;;;;;;; غير  ; [sound:darija_520.mp3]  ;
7etta 7aja; not a thing nothing;;;;;;;;; حتى حاجة  ; [sound:darija_521.mp3]  ;
7etta wa7ed; not one person no one;;;;;;;;; حتى واحد  ; [sound:darija_522.mp3]  ;
chedd; to grab to take;Verb;;chedd;;;;cheddu chcheffar. cheddina TTobis.;They caught the thief. We took the bus.;شد; [sound:darija_523.mp3]  ;
khayeb; bad ugly;Adjective;;;khayba;khaybin;khaybat;;; خايب  ; [sound:darija_524.mp3]  ;
wekkel; to feed;Verb;;wekkel;;;;khaSni nwkkel wladi.;I need/must feed my children.; وكل  ; [sound:darija_525.mp3]  ;
Safar; trip;Noun;aSfar;;;;;;; صفر  ; [sound:darija_526.mp3]  ;
sa3tayen; two hours;;;;;;;;; ساعتين  ; [sound:darija_527.mp3]  ;
anTrima/anTrinma; work out;Noun;anTrimat/anTrinmat;;;;;;;أنطرينما  ; [sound:darija_528.mp3]  ;
illa men ghir; except;;;;;;;;; إلا من غير  ; [sound:darija_529.mp3]  ;
sir; go!;;;;;;;;; سير  ; [sound:darija_530.mp3]  ;
sbiTar; hospital;Noun;sbiTarat;;;;;;; سبيطار  ; [sound:darija_531.mp3]  ;
lay chafik; get well soon;;;;;;;;; الله يشافيك  ; [sound:darija_532.mp3]  ;
ki b9a; how is he;;;;;;;;; كي بقى; [sound:darija_533.mp3]  ;
3iyyan; tired;Adjective;;;3iyyana;3iyyanin;3iyyanat;;; عيان  ; [sound:darija_534.mp3]  ;
rajel;man husband;Noun;rjal;;;;;;;راجل; [sound:darija_535.mp3]  ;
7anut;shop;Noun;7wanet;;;;;;;حانوت; [sound:darija_536.mp3]  ;
sarut; key;Noun;swaret;;;;;;; سَارُوت  ; [sound:darija_537.mp3]  ;
bab; door;Noun;biban;;;;;;; باب  ; [sound:darija_538.mp3]  ;
kursi; chair;Noun;krasa;;;;;;; كرسي  ; [sound:darija_539.mp3]  ;
zerbiya; carpet;Noun;zrabi;;;;;;; زربية  ; [sound:darija_540.mp3]  ;
magana; watch;Noun;maganat;;;;;;; مگانة  ; [sound:darija_541.mp3]  ;
jib; pocket;Noun;jyub;;;;;;; جيب  ; [sound:darija_542.mp3]  ;
chkara; backpack;Noun;chkarat;;;;;;; شكارة  ; [sound:darija_543.mp3]  ;
rkhiS; cheap;Adjective;;;rkhiSa;rkhaS;rkhaSat;;; رخيص  ; [sound:darija_544.mp3]  ;
ghali; expensive;Adjective;;;ghalya;ghalyin;ghalyat;;; غالي  ; [sound:darija_545.mp3]  ;
me7lul; opened;Adjective;;;me7lula;me7lulin;me7lulat;;; محلول  ; [sound:darija_546.mp3]  ;
mesdud; closed;Adjective;;;mesduda;mesdudin;mesdudat;;; مسدود  ; [sound:darija_547.mp3]  ;
t9il; heavy;Adjective;;;t9ila;t9al;t9alat;;; ثقيل  ; [sound:darija_548.mp3]  ;
ntuma; you (plural);;;;;;;;; نتما  ; [sound:darija_549.mp3]  ;
huma; they;;;;;;;;; هما  ; [sound:darija_550.mp3]  ;
lugha; language;Noun;lughat;;;;;;; لغة  ; [sound:darija_551.mp3]  ;
biru; desk office;Noun;biruat;;;;;;; بيرو  ; [sound:darija_552.mp3]  ;
ktir; many numerous;Adjective;;;ktira;ktar;ktarat;;; كثير  ; [sound:darija_553.mp3]  ;
9lil; little few;Adjective;;;9lila;9lal;9lalat;;; قليل  ; [sound:darija_554.mp3]  ;
fermli;nurse;Noun;framlia;;;;;;; فرملي  ; [sound:darija_555.mp3]  ;
bulisi; police office;Noun;bulis;;;;;;; بوليسي  ; [sound:darija_556.mp3]  ;
karTa; card games;Noun;karTat;;;;;;; كَارْطَة  ; [sound:darija_557.mp3]  ;
9er3a; bottle;Noun;9ra3i;;;;;;; قرعة  ; [sound:darija_558.mp3]  ;
wach; if whether;;;;;;;;; واش  ; [sound:darija_559.mp3]  ;
we9temma;whenever anytime;;;;;;;;; وقتما  ; [sound:darija_560.mp3]  ;
wakha; although ok agreed;;;;;;;;; واخا  ; [sound:darija_561.mp3]  ;
men be3demma; after;;;;;;;;; من بعد ما  ; [sound:darija_562.mp3]  ;
bla; without;;;;;;;;; بلا  ; [sound:darija_563.mp3]  ;
finemma; wherever;;;;;;;;; فينما  ; [sound:darija_564.mp3]  ;
3ad; and then gerade;;;;;;;;; عاد  ; [sound:darija_565.mp3]  ;
ste3mel; to use;Verb;;ste3mel;;;;Ina shampoing kantst3mli?;What shampoo do you use?; ستعمل  ; [sound:darija_566.mp3]  ;
feDDel; to prefer;Verb;;feDDel;;;;KanfDDel nn3es f biti.;I prefer to sleep in my room.; فضل  ; [sound:darija_567.mp3]  ;
kheddem; make something work;Verb;;kheddem;;;;Kat3rf tkhddem ttelfaza?;Do you know how to make the TV work?; خدم  ; [sound:darija_568.mp3]  ;
lach; for what reason;;;;;;;;; علاش  ; [sound:darija_569.mp3]  ;
men imta; since when;;;;;;;;; من إمتى; [sound:darija_570.mp3]  ;
dyal men; whose;;;;;;;;; ديال من; [sound:darija_571.mp3]  ;
lemmen; to whom;;;;;;;;; لمن; [sound:darija_572.mp3]  ;
khechba; wood;Noun;khcheb;;;;;;; خشبة; [sound:darija_573.mp3]  ;
7dida; iron;Noun;7did;;;;;;;حديدة; [sound:darija_574.mp3]  ;
plastika; plastic;Noun;plastika;;;;;;; بلاستيكة  ; [sound:darija_575.mp3]  ;
jaja; glass;Noun;jaj/jajat;;;;;;; جاج  ; [sound:darija_576.mp3]  ;
deftar; notebook;Noun;dfater;;;;;;; دفتر  ; [sound:darija_577.mp3]  ;
bola; lightbulb;Noun;bolat;;;;;;; بولة  ; [sound:darija_578.mp3]  ;
7iT; wall;Noun;7yuta;;;;;;; حيط  ; [sound:darija_579.mp3]  ;
deS; floor;Noun;dSuSa;;;;;;; دص  ; [sound:darija_580.mp3]  ;
erd; earth ground;Noun;aradi;;;;;;;أرض  ; [sound:darija_581.mp3]  ;
fjer; dawn;Noun;fjer;;;;;;;فجر  ; [sound:darija_582.mp3]  ;
wer9a; paper;Noun;wra9;;;;;;; ورقة  ; [sound:darija_583.mp3]  ;
monada; soda;Noun;monadat;;;;;;; مونادة  ; [sound:darija_584.mp3]  ;
7da; next to;;;;;;;;; حداه  ; [sound:darija_585.mp3]  ;
stilu; pen;Noun;stiluat;;;;;;; ستيلو  ; [sound:darija_586.mp3]  ;
9alam; pencil;Noun;a9lam;;;;;;; قلم  ; [sound:darija_587.mp3]  ;
misTara; ruler;Noun;misTarat;;;;;;; مسطرة  ; [sound:darija_588.mp3]  ;
guma; eraser;Noun;gumat;;;;;;; گومة  ; [sound:darija_589.mp3]  ;
fer7an; happy;Adjective;;;fer7ana;fer7anin;fer7anat;;; فرحان  ; [sound:darija_590.mp3]  ;
7azin; sad;Adjective;;;7azina;7azinin;7azinat;;; حزين  ; [sound:darija_591.mp3]  ;
m9elle9; upset worried;Adjective;;;m9ell9a;m9ell9in;m9ell9at;;; مقلق  ; [sound:darija_592.mp3]  ;
Sac; bag;Noun;Sikan;;;;;;; صاك  ; [sound:darija_593.mp3]  ;
sekkar; sugar;Noun;skaker;;;;;;; سكر  ; [sound:darija_594.mp3]  ;
